year,rank,league,gpa,weight
2016,1,Gotham,948.14,7.02
2016,2,Victoria,855.96,6.34
2016,3,London,817.70,6.05
2016,4,Rose City,816.45,6.05
2016,5,Texas,689.22,5.10
2016,6,Jacksonville,673.05,4.98
2016,7,Angel City,660.13,4.89
2016,8,Denver,641.81,4.75
2016,9,Bay Area,637.88,4.72
2016,10,Arch Rival,608.50,4.51
2016,11,Philly,573.35,4.25
2016,12,Minnesota,569.58,4.22
2016,13,Rat City,539.09,3.99
2016,14,Montréal,504.20,3.73
2016,15,Atlanta,491.15,3.64
2016,16,Rocky Mountain,483.76,3.58
2016,17,Dallas,472.20,3.50
2016,18,Crime City,471.85,3.49
2016,19,Stockholm,458.11,3.39
2016,20,Tampa,440.59,3.26
2016,21,Des Moines,438.22,3.24
2016,22,Boston,429.26,3.18
2016,23,Sun State,405.91,3.01
2016,24,Detroit,404.23,2.99
2016,25,No Coast,402.95,2.98
2016,26,Terminal City,398.81,2.95
2016,27,Columbia QS,391.15,2.90
2016,28,Steel City,388.52,2.88
2016,29,Helsinki,388.24,2.87
2016,30,Nashville,379.26,2.81
2016,31,Charm City,376.51,2.79
2016,32,Naptown,371.41,2.75
2016,33,Queen City,370.85,2.75
2016,34,Pikes Peak,369.09,2.73
2016,35,Sacred City,368.52,2.73
2016,36,Boulder County,357.34,2.65
2016,37,Santa Cruz,356.32,2.64
2016,38,Emerald City,351.59,2.60
2016,39,Madison,350.69,2.60
2016,40,Charlottesville,350.05,2.59
2016,41,Ohio,349.62,2.59
2016,42,Chicago Outfit,345.16,2.56
2016,43,Sac City,339.92,2.52
2016,44,Houston,338.31,2.51
2016,45,Kansas City,333.54,2.47
2016,46,Oly,326.92,2.42
2016,47,Tri-City,324.16,2.40
2016,48,Auld Reekie,323.82,2.40
2016,49,Arizona,323.55,2.40
2016,50,Tucson,323.53,2.40
2016,51,Wasatch,323.01,2.39
2016,52,Jet City,321.87,2.38
2016,53,Bear City,317.61,2.35
2016,54,Toronto,316.95,2.35
2016,55,Ottawa Valley,311.55,2.31
2016,56,St. Chux,301.23,2.23
2016,57,Brandywine,299.21,2.22
2016,58,Demolition,296.23,2.19
2016,59,Brewcity,294.57,2.18
2016,60,Ann Arbor,293.40,2.17
2016,61,Treasure Vall,289.26,2.14
2016,62,Windy City,284.95,2.11
2016,63,Grand Raggidy,281.31,2.08
2016,64,Calgary,269.50,2.00
2016,65,Paradise City,269.19,1.99
2016,66,OK Victory,265.96,1.97
2016,67,Glasgow,261.38,1.94
2016,68,Sin City,256.88,1.90
2016,69,Kallio,254.60,1.89
2016,70,Carolina,254.38,1.88
2016,71,Cincinnati,247.83,1.84
2016,72,North Star,247.47,1.83
2016,73,Burning River,245.50,1.82
2016,74,Fort Myers,241.99,1.79
2016,75,Green Mountain,240.06,1.78
2016,76,Ithaca,232.72,1.72
2016,77,Maine,225.73,1.67
2016,78,Blue Ridge,221.89,1.64
2016,79,DuPage,220.13,1.63
2016,80,Roc City,218.79,1.62
2016,81,Kalamazoo,217.32,1.61
2016,82,DC,215.65,1.60
2016,83,Rainy City,214.31,1.59
2016,84,Old Cap City,212.33,1.57
2016,85,Nidaros,209.64,1.55
