year,rank,league,gpa,weight
2018,170,Convict City,141.84,1.02
2018,171,St. Chux,141.63,1.02
2018,172,Cedar Valley,139.86,1.01
2018,173,Muscogee,139.64,1.01
2018,174,Dominion,138.95,1.00
2018,175,Emerald City,138.91,1.00
2018,176,Gorge,137.28,0.99
2018,177,Shasta,136.55,0.98
2018,178,Granite State,136.43,0.98
2018,179,Northern Brisbane,135.78,0.98
2018,180,Richter City,135.67,0.98
2018,181,Mass Attack,135.46,0.98
2018,182,Silicon Valley,134.60,0.97
2018,183,Unforgiven,133.48,0.96
2018,184,Charlotte,132.08,0.95
2018,185,Sonoma County,130.88,0.94
2018,186,Mo-Kan,130.75,0.94
2018,187,Dirty River,130.32,0.94
2018,188,Confluence,129.81,0.93
2018,189,Central NY,129.59,0.93
2018,190,Northside,129.24,0.93
2018,191,Tallahassee,128.03,0.92
2018,192,Auckland,127.61,0.92
2018,193,Dunedin,127.12,0.91
2018,194,Lava City,126.73,0.91
2018,195,Rock Coast,126.58,0.91
2018,196,Jersey Shore,126.05,0.91
2018,197,Mason-Dixon,125.12,0.90
2018,198,CoMo,124.60,0.90
2018,199,Forest City,123.97,0.89
2018,200,Miss Valley,123.60,0.89
2018,201,Ark Valley,121.62,0.88
2018,202,River City,121.12,0.87
2018,203,Hartford,120.47,0.87
2018,204,Free State,120.40,0.87
2018,205,Circle City,120.32,0.87
2018,206,Hellions Troy,120.24,0.87
2018,207,Hard Knox,119.78,0.86
2018,208,Dresden,119.69,0.86
2018,209,Tokyo,119.43,0.86
2018,210,West Texas,116.28,0.84
2018,211,Demolition,116.17,0.84
2018,212,Oslo,115.17,0.83
2018,213,Salisbury,114.43,0.82
2018,214,Royal Windsor,114.42,0.82
2018,215,New Jersey,113.51,0.82
2018,216,Dundee,113.01,0.81
2018,217,Twin Valleys,112.94,0.81
2018,218,NW Arkansas,112.75,0.81
2018,219,Glass City,112.25,0.81
2018,220,Copenhagen,111.91,0.81
2018,221,Dutchland,111.79,0.80
2018,222,Monterey Bay,111.35,0.80
2018,223,Dom City,110.91,0.80
2018,224,Whakatane,110.27,0.79
2018,225,Ohio Valley,109.91,0.79
2018,226,Lowcountry,109.19,0.79
2018,227,Port City,108.93,0.78
2018,228,Green Mountain,108.56,0.78
2018,229,Morgantown,107.77,0.78
2018,230,Madrid,107.76,0.78
2018,231,Go-Go Gent,107.68,0.78
2018,232,Chippewa,107.43,0.77
2018,233,Durango,107.23,0.77
2018,234,Little Steel,107.11,0.77
2018,235,South Bend,106.62,0.77
2018,236,Jerzey Derby,106.52,0.77
2018,237,Namur,106.23,0.76
2018,238,Vienna,105.41,0.76
2018,239,High Altitude,104.74,0.75
2018,240,Central Coast,104.61,0.75
2018,241,Fog City,104.35,0.75
2018,242,Croydon,103.49,0.74
2018,243,Leeds,103.25,0.74
2018,244,Rocktown,101.91,0.73
2018,245,Dockyard,101.58,0.73
2018,246,Yellow Rose,101.32,0.73
2018,247,Bleeding Heart,101.03,0.73
2018,248,Limerick,100.99,0.73
2018,249,South Shore,100.86,0.73
2018,250,St. Pauli,100.09,0.72
2018,251,Harbor City,99.97,0.72
2018,252,Zürich City,99.33,0.71
2018,253,Paris Quads,98.52,0.71
2018,254,Undead,95.56,0.69
2018,255,Metz,95.46,0.69
2018,256,Harpies Milano,94.98,0.68
2018,257,Stuttgart,94.11,0.68
2018,258,Ventura,93.38,0.67
2018,259,580,93.24,0.67
2018,260,Glasgow,92.78,0.67
2018,261,Renegade,91.91,0.66
2018,262,Munich,91.55,0.66
2018,263,Hammer City,91.54,0.66
2018,264,Alamo City,91.01,0.66
2018,265,Battle Creek,89.98,0.65
2018,266,Beloit,89.53,0.64
2018,267,Mid-State,89.44,0.64
2018,268,Lutèce,89.17,0.64
2018,269,Fredericksburg,88.42,0.64
2018,270,Barcelona,87.33,0.63
2018,271,MedCity,86.79,0.62
2018,272,Tragic City,86.43,0.62
2018,273,Central Ohio,86.27,0.62
2018,274,Peninsula,85.83,0.62
2018,275,Chem Valley,85.24,0.61
2018,276,Fayetteville,84.71,0.61
2018,277,South Delaware,84.63,0.61
2018,278,Rainy City,84.10,0.61
2018,279,Cedar Rapids,83.54,0.60
2018,280,Black n Blue,82.96,0.60
2018,281,Lafayette,82.09,0.59
2018,282,Cajun,81.52,0.59
2018,283,Savannah,81.49,0.59
2018,284,Prairieland,81.18,0.58
2018,285,Okinawa,80.68,0.58
2018,286,Little City,80.10,0.58
2018,287,Cen-Tex,79.83,0.57
2018,288,Sioux Falls,79.58,0.57
2018,289,Acadiana,78.89,0.57
2018,290,Shore Points,78.80,0.57
2018,291,Greenville,78.75,0.57
2018,292,Lilac City,78.58,0.57
2018,293,Pensacola,77.94,0.56
2018,294,London Rockin,77.35,0.56
2018,295,Devil Dog,75.62,0.54
2018,296,Kaiserslautern,75.32,0.54
2018,297,Maui,74.91,0.54
2018,298,Vette City,74.72,0.54
2018,299,Wine Town,74.29,0.53
2018,300,Rockford Rage,73.42,0.53
2018,301,Castle Rock,73.07,0.53
2018,302,Quad City,72.92,0.52
2018,303,Spindletop,72.65,0.52
2018,304,Hogtown,72.18,0.52
2018,305,Keweenaw,71.16,0.51
2018,306,Fargo,70.46,0.51
2018,307,Border City,70.32,0.51
2018,308,NW Derby,69.72,0.50
2018,309,Peach State,69.52,0.50
2018,310,Springfield,68.09,0.50
2018,311,Memphis,67.18,0.50
2018,312,So Maryland,66.99,0.50
2018,313,Cologne,65.80,0.50
2018,314,Soul City,64.42,0.50
2018,315,Pacific,63.87,0.50
2018,316,Bellingham,62.87,0.50
2018,317,Rainier,62.30,0.50
2018,318,Rodeo City,62.14,0.50
2018,319,Slaughterhouse,61.68,0.50
2018,320,Salt City,61.26,0.50
2018,321,Cen Kentucky,60.93,0.50
2018,322,South Side,59.24,0.50
2018,323,Karlsruhe,57.20,0.50
2018,324,Gainesville,56.58,0.50
2018,325,Ruhrpott,55.89,0.50
2018,326,Jackson Hole,55.59,0.50
2018,327,Albany US,54.10,0.50
2018,328,Seaside Siren,49.06,0.50
2018,329,Paradise,47.41,0.50
2018,330,Sheffield,47.14,0.50
2018,331,Suburbia,45.87,0.50
2018,332,Roughneck,41.68,0.50
2018,333,Diamond State,40.39,0.50
2018,334,Belfast,39.69,0.50
2018,335,Thunder Bay,36.36,0.50
2018,336,South Sea,35.96,0.50
2018,337,Whidbey,33.43,0.50
2018,338,Harrisburg,30.24,0.50
2018,339,Waimea,27.51,0.50
