year,rank,league,gpa,weight
2019,1,Rose City,"1,260.93",8.60
2019,2,Victoria,"1,245.01",8.49
2019,3,Denver,"1,174.17",8.01
2019,4,Gotham,"1,167.39",7.96
2019,5,Arch Rival,"1,084.30",7.39
2019,6,Angel City,945.01,6.44
2019,7,Texas,876.52,5.98
2019,8,Crime City,839.87,5.73
2019,9,Montréal,838.84,5.72
2019,10,Jacksonville,816.85,5.57
2019,11,2 x 4,788.70,5.38
2019,12,Atlanta,769.36,5.25
2019,13,London,764.66,5.21
2019,14,Rainy City,717.11,4.89
2019,15,Santa Cruz,699.17,4.77
2019,16,Rat City,686.21,4.68
2019,17,Helsinki,682.12,4.65
2019,18,Minnesota,670.52,4.57
2019,19,Arizona,658.02,4.49
2019,20,Bay Area,655.70,4.47
2019,21,Stockholm,625.76,4.27
2019,22,Philly,602.08,4.11
2019,23,Canberra,580.66,3.96
2019,24,Windy City,567.57,3.87
2019,25,Queen City,561.65,3.83
2019,26,Tampa,552.42,3.77
2019,27,Ann Arbor,551.45,3.76
2019,28,Houston,549.33,3.75
2019,29,Sun State,541.90,3.70
2019,30,Naptown,537.93,3.67
2019,31,Paris,531.21,3.62
2019,32,Bear City,520.05,3.55
2019,33,Boston,518.53,3.54
2019,34,Dublin,509.84,3.48
2019,35,Dallas,490.81,3.35
2019,36,Des Moines,490.67,3.35
2019,37,Sailor City,490.11,3.34
2019,38,Detroit,480.73,3.28
2019,39,Kallio,478.09,3.26
2019,40,Madison,467.79,3.19
2019,41,Blue Ridge,461.26,3.15
2019,42,Rocky Mountain,458.00,3.12
2019,43,E-Ville,457.27,3.12
2019,44,Columbia QS,443.65,3.03
2019,45,Calgary,440.10,3.00
2019,46,Dock City,437.70,2.98
2019,47,Sacramento,437.30,2.98
2019,48,Middlesbrough,437.00,2.98
2019,49,Tiger Bay,435.43,2.97
2019,50,Charlottesville,425.89,2.90
2019,51,Perth,413.28,2.82
2019,52,Terminal City,410.99,2.80
2019,53,Royal City,390.65,2.66
2019,54,North Star,386.08,2.63
2019,55,Happy Valley,385.57,2.63
2019,56,Birmingham,372.97,2.54
2019,57,Tucson,372.13,2.54
2019,58,Charm City,362.74,2.47
2019,59,Grand Raggidy,361.09,2.46
2019,60,Central City,355.83,2.43
