year,rank,league,gpa,weight
2019,61,V Town,355.64,2.43
2019,62,Toronto,349.52,2.38
2019,63,Jet City,348.84,2.38
2019,64,Adelaide,348.19,2.37
2019,65,Dub City,343.96,2.35
2019,66,Ohio,338.81,2.31
2019,67,Tri-City,334.85,2.28
2019,68,Winnipeg,333.03,2.27
2019,69,Orangeville,331.73,2.26
2019,70,OK Victory,329.01,2.24
2019,71,Roc City,320.04,2.18
2019,72,Gem City,313.46,2.14
2019,73,Auld Reekie,308.25,2.10
2019,74,Ottawa Valley,306.33,2.09
2019,75,Rage City,305.19,2.08
2019,76,Gothenburg,302.69,2.06
2019,77,Brewcity,300.93,2.05
2019,78,Gold Coast,300.54,2.05
2019,79,Classic City,299.34,2.04
2019,80,Garden State,296.82,2.02
2019,81,Newcastle UK,292.75,2.00
2019,82,Pirate City,290.34,1.98
2019,83,Red Stick,289.26,1.97
2019,84,No Coast,287.41,1.96
2019,85,Brandywine,286.84,1.96
2019,86,Wasatch,283.63,1.93
2019,87,Steel City,270.99,1.85
2019,88,DC,269.79,1.84
2019,89,Pikes Peak,267.10,1.82
2019,90,Crossroads,264.62,1.80
2019,91,Québec,257.79,1.76
2019,92,Cincinnati,257.04,1.75
2019,93,Mother State,255.94,1.75
2019,94,Long Island,255.80,1.74
2019,95,Appalachian,255.54,1.74
2019,96,Kalamazoo,255.09,1.74
2019,97,West Virginia,254.46,1.74
2019,98,Maine,251.15,1.71
2019,99,Providence,250.60,1.71
2019,100,Kansas City,250.41,1.71
2019,101,Antwerp,248.74,1.70
2019,102,Connecticut,246.24,1.68
2019,103,Humboldt,242.91,1.66
2019,104,Sydney,241.30,1.65
2019,105,Boulder County,240.74,1.64
2019,106,Northside,235.98,1.61
2019,107,Grtr Vancouver,234.22,1.60
2019,108,Duke City,230.56,1.57
2019,109,Nottingham,229.49,1.56
2019,110,Ithaca,228.93,1.56
2019,111,Assassination,227.83,1.55
2019,112,Oslo,225.67,1.54
2019,113,Nashville,225.00,1.53
2019,114,Carolina,221.38,1.51
2019,115,North Texas,220.29,1.50
2019,116,Cherry City,214.57,1.46
2019,117,Penn Jersey,212.48,1.45
2019,118,Lehigh Valley,211.45,1.44
2019,119,FOCO,208.80,1.42
2019,120,Black Rose,208.72,1.42
2019,121,Amsterdam,205.92,1.40
2019,122,Old Cap City,202.47,1.38
2019,123,Muddy River,201.45,1.37
2019,124,Brussels,201.44,1.37
2019,125,Downriver,199.85,1.36
2019,126,10th Mountain,197.96,1.35
2019,127,SoCal,194.84,1.33
2019,128,Greensboro,194.13,1.32
2019,129,Sierra Region,188.17,1.28
2019,130,Cornfed,187.01,1.28
2019,131,Nantes,185.91,1.27
2019,132,Chattanooga,185.72,1.27
2019,133,Forest City,183.09,1.25
2019,134,Fox Cities,182.36,1.24
2019,135,San Fernando,179.75,1.23
2019,136,Caen,177.28,1.21
2019,137,Bay State,177.27,1.21
2019,138,Akron,177.26,1.21
2019,139,Rockin' City,177.17,1.21
2019,140,Northern Brisbane,176.89,1.21
2019,141,State College,176.28,1.20
2019,142,Twin State,175.87,1.20
2019,143,Palouse River,175.75,1.20
2019,144,Charlotte,172.77,1.18
2019,145,Big Easy,171.96,1.17
2019,146,Fernie,170.96,1.17
2019,147,DuPage,170.15,1.16
2019,148,Orlando,169.41,1.16
2019,149,Leeds,168.42,1.15
2019,150,Sitka Sound,166.82,1.14
2019,151,Confluence,166.09,1.13
2019,152,Gorge,165.69,1.13
2019,153,Omaha,164.85,1.12
2019,154,Dark River,162.25,1.11
2019,155,Panhandle,161.78,1.10
2019,156,Bellingham,159.68,1.09
2019,157,Tampere,159.49,1.09
2019,158,High Altitude,159.39,1.09
2019,159,Demolition,158.57,1.08
2019,160,Paris Quads,157.78,1.08
2019,161,Fayetteville,157.49,1.07
2019,162,Bakersfld Diam,155.61,1.06
2019,163,Molly Roger,155.57,1.06
2019,164,Emerald City,155.51,1.06
2019,165,Derby City,155.38,1.06
2019,166,Dirty River,155.20,1.06
2019,167,Tragic City,155.10,1.06
2019,168,Hellions Troy,154.80,1.06
2019,169,Zürich City,152.73,1.04
2019,170,WB-Scranton,150.30,1.02
2019,171,Jackson Hole,150.21,1.02
2019,172,Copenhagen,149.19,1.02
2019,173,Treasure Vall,148.66,1.01
2019,174,West Coast,148.52,1.01
2019,175,Reading,147.39,1.01
2019,176,Chicago Outfit,145.89,0.99
2019,177,Cape Fear,143.64,0.98
2019,178,Lutèce,141.27,0.96
2019,179,ICT,138.88,0.95
2019,180,Rocket City,138.23,0.94
2019,181,Dominion,137.97,0.94
2019,182,Convict City,136.87,0.93
2019,183,Sonoma County,136.82,0.93
2019,184,Muscogee,136.07,0.93
2019,185,Twin City IL,135.29,0.92
2019,186,Lava City,135.20,0.92
2019,187,Bux-Mont,134.87,0.92
2019,188,South Coast,133.95,0.91
2019,189,Mason-Dixon,133.31,0.91
2019,190,New Jersey,133.29,0.91
2019,191,CoMo,131.10,0.89
2019,192,Silicon Valley,130.56,0.89
2019,193,Free State,130.12,0.89
2019,194,Vicenza,129.90,0.89
2019,195,Royal Swedish,129.33,0.88
2019,196,Yellow Rose,128.26,0.87
2019,197,Dresden,128.15,0.87
2019,198,Ft. Wayne,127.95,0.87
2019,199,Gallatin,127.76,0.87
2019,200,Traverse City,127.73,0.87
2019,201,Central NY,126.96,0.87
2019,202,Little Steel,126.86,0.87
2019,203,Burning River,126.34,0.86
2019,204,Green Mountain,126.31,0.86
2019,205,Capital City,126.20,0.86
2019,206,Eves Destruct,126.12,0.86
2019,207,Whakatane,126.07,0.86
2019,208,Vienna,125.77,0.86
2019,209,Hartford,125.58,0.86
2019,210,Fort Myers,125.27,0.85
2019,211,Monterey Bay,125.03,0.85
2019,212,Rated PG,124.56,0.85
2019,213,Twin Valleys,124.52,0.85
2019,214,Namur,123.31,0.84
2019,215,Sioux Falls,123.23,0.84
2019,216,Tallahassee,121.17,0.83
2019,217,Lowcountry,120.35,0.82
2019,218,Limerick,118.98,0.81
2019,219,Dead River,118.57,0.81
2019,220,River City,117.32,0.80
2019,221,Misery Loves,117.26,0.80
2019,222,Circle City,117.23,0.80
2019,223,Savannah,117.07,0.80
2019,224,Salisbury,116.12,0.79
2019,225,Chippewa,115.92,0.79
2019,226,Little City,115.53,0.79
2019,227,Madrid,115.40,0.79
2019,228,Granite State,114.56,0.78
2019,229,Naughty Pines,113.80,0.78
2019,230,Rock Town,113.30,0.77
2019,231,West Texas,113.17,0.77
2019,232,Royal Windsor,111.71,0.76
2019,233,Hammer City,111.63,0.76
2019,234,Springfield,111.59,0.76
2019,235,Dunedin,110.84,0.76
2019,236,Hard Knox,110.02,0.75
2019,237,Lansing,109.24,0.74
2019,238,South Delaware,109.04,0.74
2019,239,Ruhrpott,108.95,0.74
2019,240,Barcelona,108.16,0.74
2019,241,Rock Coast,107.51,0.73
2019,242,Cajun,106.66,0.73
2019,243,Dutchland,106.44,0.73
2019,244,Prairieland,106.19,0.72
2019,245,Alamo City,106.02,0.72
2019,246,Dockyard,105.97,0.72
2019,247,Mass Attack,105.39,0.72
2019,248,Renegade,104.94,0.72
2019,249,Western Aus,104.91,0.72
2019,250,St. Pauli,104.83,0.71
2019,251,Echo City,104.75,0.71
2019,252,Richter City,104.75,0.71
2019,253,Northern Arizona,104.73,0.71
2019,254,Fog City,103.14,0.70
2019,255,Roughneck,101.56,0.69
2019,256,Dundee,101.42,0.69
2019,257,Albany US,100.70,0.69
2019,258,Rockford Rage,100.40,0.68
2019,259,Morgantown,100.38,0.68
2019,260,Cologne,100.29,0.68
2019,261,Harbor City,100.24,0.68
2019,262,Lilac City,99.90,0.68
2019,263,Central Coast,98.72,0.67
2019,264,Quad City,98.70,0.67
2019,265,El Paso,98.27,0.67
2019,266,Cedar Valley,98.26,0.67
2019,267,Glasgow,98.17,0.67
2019,268,Gainesville,97.43,0.66
2019,269,Munich,96.52,0.66
2019,270,Cen Kentucky,96.51,0.66
2019,271,Richland Co,96.08,0.66
2019,272,Miss Valley,95.48,0.65
2019,273,York City,94.01,0.64
2019,274,Go-Go Gent,93.66,0.64
2019,275,Peach State,93.56,0.64
2019,276,Stuttgart,93.31,0.64
2019,277,London Rockin,92.88,0.63
2019,278,Salt City,92.51,0.63
2019,279,Maui,92.42,0.63
2019,280,NW Arkansas,92.12,0.63
2019,281,Brighton,92.07,0.63
2019,282,Dolly Rockit,91.86,0.63
2019,283,Boom Town,90.15,0.61
2019,284,South Bend,89.27,0.61
2019,285,Shasta,89.26,0.61
2019,286,Acadiana,88.99,0.61
2019,287,Slaughterhouse,87.56,0.60
2019,288,Vette City,87.50,0.60
2019,289,South Shore,85.74,0.58
2019,290,Magic City,85.58,0.58
2019,291,So Illinois,85.34,0.58
2019,292,Durango,84.18,0.57
2019,293,Black Diamond,83.45,0.57
2019,294,Hell's Orchard,82.65,0.56
2019,295,Saskatoon,82.42,0.56
2019,296,Kingston,80.73,0.55
2019,297,SINtral Valley,80.42,0.55
2019,298,Black n Blue,79.62,0.54
2019,299,Battle Creek,78.80,0.54
2019,300,Fairbanks,77.88,0.53
2019,301,Shore Points,77.54,0.53
2019,302,Mid-State,77.49,0.53
2019,303,MedCity,76.56,0.52
2019,304,Suburbia,76.54,0.52
2019,305,Jerzey Derby,75.72,0.52
2019,306,Barbed Wire,75.00,0.51
2019,307,Rodeo City,74.70,0.51
2019,308,Ohio Valley,73.71,0.50
2019,309,Thunder Bay,73.42,0.50
2019,310,Undead,71.08,0.50
2019,311,Keweenaw,70.02,0.50
2019,312,Rainy City,69.46,0.50
2019,313,Whidbey,69.08,0.50
2019,314,Sin City,68.65,0.50
2019,315,Lincolnshire,68.65,0.50
2019,316,NW Derby,67.72,0.50
2019,317,Karlsruhe,67.67,0.50
2019,318,Twin City LA,66.43,0.50
2019,319,St. Chux,66.37,0.50
2019,320,Eindhoven,66.17,0.50
2019,321,Dom City,65.68,0.50
2019,322,Metz,65.64,0.50
2019,323,Waimea,63.27,0.50
2019,324,Pacific,62.63,0.50
2019,325,Jersey Shore,62.62,0.50
2019,326,Lafayette,62.50,0.50
2019,327,Harpies Milano,62.35,0.50
2019,328,Harrisburg,61.16,0.50
2019,329,Fredericksburg,57.70,0.50
2019,330,Central Ohio,57.62,0.50
2019,331,Two Rivers,57.58,0.50
2019,332,Diamond State,56.82,0.50
2019,333,Hogtown,56.80,0.50
2019,334,Peninsula,56.27,0.50
2019,335,580,56.17,0.50
2019,336,Pensacola,55.39,0.50
2019,337,Fargo,55.21,0.50
2019,338,Memphis,53.41,0.50
2019,339,Rainier,50.45,0.50
2019,340,Beloit,49.74,0.50
2019,341,Los Alamos,49.67,0.50
2019,342,RnR Queens,49.26,0.50
2019,343,Portneuf,48.83,0.50
2019,344,Prague,47.35,0.50
2019,345,Greenville,46.37,0.50
2019,346,Kaiserslautern,42.45,0.50
2019,347,Paradise,39.55,0.50
2019,348,Spindletop,30.22,0.50
2019,349,Eerie,28.05,0.50
2019,350,New Hampshire,22.79,0.50
