year,rank,league,weight
2020,216,Glasgow,0.84
2020,217,NW Arkansas,0.83
2020,218,Capital City,0.83
2020,219,New Jersey,0.83
2020,220,CoMo,0.82
2020,221,Sitka Sound,0.82
2020,222,Hard Knox,0.81
2020,223,Little Steel,0.81
2020,224,Kingston,0.81
2020,225,Bisman,0.80
2020,226,Tallahassee,0.80
2020,227,Swansea City,0.79
2020,228,Springfield,0.79
2020,229,Rock Town,0.79
2020,230,Prairieland,0.78
2020,231,West Texas,0.78
2020,232,Monterey Bay,0.77
2020,233,Alamo City,0.77
2020,234,Ruhrpott,0.77
2020,235,Lilac City,0.76
2020,236,West Coast,0.76
2020,237,WB-Scranton,0.76
2020,238,Echo City,0.75
2020,239,Lansing,0.75
2020,240,Salisbury,0.75
2020,241,Rated PG,0.75
2020,242,El Paso,0.75
2020,243,Shasta,0.74
2020,244,Ithaca,0.74
2020,245,Aurora 88s,0.74
2020,246,301,0.74
2020,247,Dominion,0.73
2020,248,Dutchland,0.73
2020,249,ICT,0.72
2020,250,Stuttgart,0.72
2020,251,MedCity,0.72
2020,252,Green Mountain,0.72
2020,253,Cen Kentucky,0.70
2020,254,NOVA,0.70
2020,255,Mass Attack,0.70
2020,256,Mid-State,0.69
2020,257,York City,0.68
2020,258,Boom Town,0.68
2020,259,Beach Cities,0.68
2020,260,Savannah,0.67
2020,261,Yellow Rose,0.67
2020,262,State College,0.66
2020,263,Royal Swedish,0.66
2020,264,Portneuf,0.66
2020,265,Maui,0.66
2020,266,Muscogee,0.65
2020,267,Rotterdam,0.65
2020,268,Suburbia,0.65
2020,269,Hammer City,0.65
2020,270,Hulls Angels,0.65
2020,271,South Delaware,0.65
2020,272,Bordeaux,0.65
2020,273,Marmots,0.64
2020,274,Chicago Outfit,0.64
2020,275,Eindhoven,0.64
2020,276,Munich,0.64
2020,277,Forest City,0.64
2020,278,Roughneck,0.64
2020,279,Brighton,0.64
2020,280,Morgantown,0.64
2020,281,Richland Co,0.64
2020,282,Jackson Hole,0.63
